Math Expression,Expression Name
-\left(\frac{-8}{9}+\frac{9}{2} x-7+x\right)-5\left(\frac{4}{9}+9x-5x+\frac{5}{4}\right)=-\left(\frac{-1}{6} x+6\right),linear_equation
-8.1\left(\frac{1}{6} x-3.5\right)=3.9+\frac{1}{6} x+8.1x+1,linear_equation
-5\left(\frac{-4}{9}+2x-4x+5\right)+5\left(8x-7\right),distributor_expression
1+\frac{9}{8} x-4.2x+3.9,linear_expression
8.5-8.1x-7-8x=\frac{4}{5} \left(-6+7.3x+5.3x-4.9\right),linear_equation
-1+4x+1.8+7.5x=0,linear_equation
\frac{7}{8} \left(2x+8+4+\frac{6}{7} x\right)-5.5\left(-7.3-9x-\frac{7}{9} x+0.8\right),distributor_expression
\frac{-1}{2} \left(4+5.5x\right)-3\left(\frac{-7}{6}-x\right),distributor_expression
\frac{-5}{3} \left(-2.3x+9+5.3x+\frac{5}{4}\right)=0.2x-4.9,linear_equation
\frac{-1}{3} \left(\frac{7}{8} x-2.3\right),distributor_expression
3+4x+2.7-1.5x,linear_expression
\frac{1}{9}+6x-4.2-0.2x,linear_expression
\frac{3}{2}-3x+5.5-x=-5x+1.7+8.8+7x,linear_equation
4.3+x-\frac{1}{5}+4.1x,linear_expression
\frac{-3}{4} x-2.7,linear_expression
-3.7-5x,linear_expression
\frac{-9}{8} \left(-1.4x-7-6x+\frac{7}{8}\right),distributor_expression
\frac{-1}{3} \left(\frac{3}{2}-\frac{1}{5} x-0.9x+6.2\right)-3\left(2x-9+9-\frac{1}{2} x\right),distributor_expression
-2\left(\frac{1}{7} x+\frac{1}{2}-1.5x-2\right)+9\left(\frac{-1}{2}+5x+\frac{1}{2} x-\frac{4}{7}\right),distributor_expression
7.8x-\frac{5}{7}=0,linear_equation
\frac{2}{3} x+9,linear_expression
5x+6-8.8+2x=-5x+1,linear_equation
4.1-2x,linear_expression
4.9x-7=\frac{-9}{8} \left(\frac{-5}{4}-\frac{8}{3} x-7.2+5.2x\right)-3.7\left(8.7+5.9x\right),linear_equation
\frac{8}{9} \left(-7.8-4x\right),distributor_expression
-4.5x-4,linear_expression
-6.2x+3-\frac{7}{4}-6x=4.3+\frac{3}{2} x,linear_equation
-5.5-\frac{1}{3} x-2.1+\frac{3}{2} x=5.5\left(4x+2\right)+5\left(-8.8+x\right),linear_equation
-7\left(4.3+4x\right)+4\left(0.8-3.2x\right),distributor_expression
8\left(-3-8x-4.9+\frac{7}{4} x\right)=-4.8x-\frac{1}{7},linear_equation
7\left(-6x-7.1\right)+7\left(-x-\frac{4}{3}\right),distributor_expression
-7x-\frac{8}{3},linear_expression
3.2\left(\frac{8}{7}-8.6x+3+0.1x\right)=\frac{-1}{3} x+5.8,linear_equation
7.1\left(2-\frac{9}{5} x+4+2.1x\right)=-6x+5+8-2.9x,linear_equation
-2x-4.8,linear_expression
-9+0.3x,linear_expression
8+\frac{7}{3} x,linear_expression
\frac{1}{6} x+5-x-8.3,linear_expression
-7.9+\frac{2}{9} x+3.8x-1.8,linear_expression
6\left(-6.2x+4\right)+9\left(-6-2x\right),distributor_expression
-7x+7.7,linear_expression
0.8x+9,linear_expression
2\left(-8.7x-\frac{8}{9}\right)-4.5\left(4.8-7.2x+0.4x+\frac{3}{2}\right)=4.2x+6,linear_equation
-4.4\left(6x+7-6.5x+\frac{7}{4}\right)+\frac{5}{7} \left(5x-1\right)=4.9\left(8x+1\right)-3-\frac{9}{2} x-5-\frac{6}{5} x,linear_equation
\frac{4}{3} \left(8-\frac{2}{3} x-\frac{7}{2} x+\frac{4}{3}\right),distributor_expression
-\left(1.5x-6.2+\frac{8}{7} x+\frac{2}{3}\right)+\frac{2}{5} \left(\frac{-5}{6}-7.7x\right),distributor_expression
\frac{5}{8} x+\frac{5}{4},linear_expression
-7-6x=\frac{3}{7}+7.5x+6x-6.3,linear_equation
-8.1\left(-4-\frac{9}{4} x+\frac{2}{3}-4x\right),distributor_expression
\frac{1}{6} \left(-5+6x-8x-9\right)+\frac{7}{2} \left(7+8.6x\right),distributor_expression
-8.6\left(7+7x\right),distributor_expression
\frac{3}{8}+4x+0.9x-3.2,linear_expression
\frac{-6}{5} \left(\frac{7}{3} x-4.8-1.3x+6\right)=-4.4x-\frac{6}{7}+5x-6.4,linear_equation
5.5+4.7x-\frac{4}{7}+8.9x=0,linear_equation
-5.3\left(2.5x-\frac{3}{8}+1+\frac{3}{2} x\right)+4.5\left(5+5.1x\right),distributor_expression
-8.8x+2.9+x+7.1,linear_expression
7-4x+9-2x,linear_expression
